ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1,Q2_2,Q2_1,Q3,Q4,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,How would you rate the support you received from API Integration team on a scale 5?,How would rate the support you are receiving from the representative handling your case?-Ability to communicate clearly,How would rate the support you are receiving from the representative handling your case?-Knowledge of SP-API products &amp; Services,"Please enter ""Your Merchant Token"" from Seller Central or you can find in the email shared by our...",If you would like to share any additional comments about your most recent interaction with our re...,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_6EvH1dVDwlA2lal-sum'},{'ImportId': 'SC_6EvH1dVDwlA2lal-weightedAvg'},{'ImportId': 'SC_6EvH1dVDwlA2lal-weightedStdDev'},{'ImportId': 'QID1'},{'ImportId': 'QID52-2'},{'ImportId': 'QID52-1'},{'ImportId': 'QID3-TEXT'},{'ImportId': 'QID4-TEXT'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_3ESAW5tYWxeoVJL,null,46.114.149.62,2022-07-12 13:45:19,2022-07-12 13:46:28,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,AHUWQFX6A5A7A,It is very  excellent service,48.767,9.1827,-1
R_1C4nwVgLFOr0LGM,null,23.22.36.94,2022-07-14 23:25:28,2022-07-14 23:30:56,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,AZ30V6GD3MG6N,"I cannot tell you how thankful I am for you to reach out to us and help answer SPAPI questions. It has been a uphill battle to migrate to SPAPI and your email and follow up call this morning has been extremely helpful to clear some doubts and to know that there is someone to help us. We help over 200 sellers on amazon better understand their data through amazon API and it is critical for us to keep them updated with their seller account data. Pratyusha and Premalatha were both very knowledgeable, clear and helpful. Wish we had this 10 months ago!",39.0469,-77.4903,-1
R_1eOxpAsGQqzeqNr,null,72.187.130.111,2022-07-20 16:25:55,2022-07-20 16:27:07,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,A3W59EOJ6IYJ0W,"thanks, very helpful.",27.9162,-82.7299,-1
R_33yfKn7y6DosNxN,null,86.193.221.127,2022-07-27 13:56:39,2022-07-27 14:00:51,,,,,1,0,0.0,0.0,0.0,4- Good,3 -Fair,5- Excellent,A1KSV0TG6WFNRB,"After an initial confusion regarding our Merchant Token we were able to communicate clearly even with my heavy french accent :-)\The migration to SPAPI has to be made very rapidly because we had to wait a long time for our developer audit and your team seems genuinely involved in helping us make the migration, it's very nice of you all, thanks!\If we hit a hurdle we will come back to you and ask any questions to make the transition as smooth as possible.\Kind regards,\Renaud Rey, Iziflux developer.",43.3389,3.2086,-1
R_2t5MVFN6kvB12xw,null,117.97.204.185,2022-08-29 12:10:22,2022-08-29 12:14:10,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,4- Good,A3FUZUV0EPQUOE,Respresentative is  very helpful to understand amazon in detail and also giving detail description of policy on amazon. This help to know  amazon well .,23.0276,72.5871,-1
R_1QmUjRYHUIuOx0O,null,81.220.68.229,2022-09-14 12:07:23,2022-09-14 12:13:14,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,A2L201EBBYI9E4,Thanks a lot.,48.7344,2.4449,-1
R_1GHXa1EdhjI0d2t,null,88.121.214.250,2022-09-27 15:30:24,2022-09-27 15:33:30,,,,,1,0,0.0,0.0,0.0,5- Excellent,4- Good,5- Excellent,A1KSV0TG6WFNRB,"The support has been great: reactive, knowledgeable and helpful.\We were not used to that level of interaction when we integrated MWS so we are extremely pleased!\Thanks especially to Pratyusha V and Serkan U",43.2789,3.2772,-1
R_29hylIfJ2kXg5ym,null,185.241.227.137,2022-09-28 12:39:02,2022-09-28 12:42:44,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,A3FL5YSRJEO07E,Pratyusha has been incredibly helpful over these past couple of months. After struggling to get someone to listen to this issue for over a year its been such a relief to get in touch with Pratyusha. She asked all of the right questions to ensure she had a clear understanding of the issue and appreciated the impact this will have on my business. She made it clear what the next steps are and that she will keep me posted. It's been a pleasure speaking with Pratyusha!,53.9308,-0.8083,-1
R_1DtGAZCaicAzR1m,null,93.33.226.18,2022-10-21 16:08:36,2022-10-21 16:14:07,,,,,1,0,0.0,0.0,0.0,4- Good,4- Good,5- Excellent,ABD719VQT3V3Q,"Very commited and helpful in taking care about client case, planning the various project steps with precision and anticipating any slowdowns in the onboardind process.",45.5735,12.1129,-1
