ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1,Q2_2,Q2_1,Q3,Q4,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,How would you rate the support you received from API Integration team on a scale 5?,How would rate the support you are receiving from the representative handling your case?-Ability to communicate clearly,How would rate the support you are receiving from the representative handling your case?-Knowledge of SP-API products &amp; Services,"Please enter ""Your Merchant Token"" from Seller Central or you can find in the email shared by our...",If you would like to share any additional comments about your most recent interaction with our re...,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_6EvH1dVDwlA2lal-sum'},{'ImportId': 'SC_6EvH1dVDwlA2lal-weightedAvg'},{'ImportId': 'SC_6EvH1dVDwlA2lal-weightedStdDev'},{'ImportId': 'QID1'},{'ImportId': 'QID52-2'},{'ImportId': 'QID52-1'},{'ImportId': 'QID3-TEXT'},{'ImportId': 'QID4-TEXT'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_2YJKjOX00fDwd2o,null,217.110.61.18,2022-06-15 16:47:09,2022-06-15 16:55:17,,,,,1,0,0.0,0.0,0.0,4- Good,5- Excellent,5- Excellent,AZLJVB9NL4G5U,"The strongest challenge were to transport the knowledge from Postman to Java. The support was very helpful to set up the configuration of the IAM user and everything regarding the seller central, but had no support for the java libs.",52.5196,13.4069,-1
R_2cCpNaCG5CBD6rL,null,90.216.9.177,2022-06-23 09:06:38,2022-06-23 09:08:09,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,A11D65NNPX6PO5,Harish has been very helpful over the past few days providing necessary information that was not clear from reading the documentation!,53.0919,-2.3848,-1
R_0p1Qd9q3rwIYZPj,null,80.57.177.66,2022-07-15 13:16:54,2022-07-15 13:17:46,,,,,1,0,0.0,0.0,0.0,4- Good,5- Excellent,5- Excellent,A3PNJAV4CVI5V1,Harry is an amazingly friendly and helpful person. Thanks for all your support so far.,52.3812,4.9263,-1
R_7VteykOvvs7rmAp,null,87.26.222.42,2022-07-29 19:22:10,2022-07-29 19:28:51,,,,,1,0,0.0,0.0,0.0,3- Fair,4- Good,4- Good,A2RD6F1WTGO3W,sorry but actually we are not sure about the service you provide us,42.4618,14.2052,-1
R_RfcQnNbcZ8h9zkl,null,78.55.63.97,2022-09-05 10:53:42,2022-09-05 10:55:45,,,,,1,0,0.0,0.0,0.0,3- Fair,4- Good,4- Good,A2CWJFW1FBTT4V,,52.5203,13.3849,-1
R_3qkDfTLbhGSGAg6,null,88.230.14.212,2022-09-06 08:20:03,2022-09-06 08:34:07,,,,,1,0,0.0,0.0,0.0,4- Good,4- Good,4- Good,A2XOSVM3PBYA5S,,37.2167,28.3674,-1
R_1NFd8lm09BOyEcw,null,79.169.210.26,2022-10-19 10:05:22,2022-10-19 10:12:32,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,A3PNJAV4CVI5V1,"Harry was super helpful at all times, always informative and expedite. He has been instrumental in clarifying doubts we had with documentation. \\Not sure if the correct place to comment this, but docs are not very clear on what tokens (rdt, access_token, Auth credentials etc) you should use with each request, this is just fine for anyone using one of the many libraries available to communicate with the API, but it presents challenges for anyone developing in a language that does not have an sp-api library. \Would also be awesome if it was possible to create ""dummy orders"" to test with. I understand that in a live system that may represent distortions on automated statistics, but if those orders could be somehow signalled as ""test orders"",  ex if they contained only ""unlisted products"", then it would be possible to filter them out.  This would make it a lot easier to test the integrations and clarify any doubts that may arise from documentation.",38.7552,-9.2465,-1
R_3Dpyi4oQVrTsUIi,null,176.42.134.36,2022-11-02 07:13:17,2022-11-02 07:14:14,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,4- Good,A2KH30OJGWZ16Y,,41.0247,28.9252,-1
R_1Kw1pcy3KW4p5mf,null,151.22.195.162,2022-11-14 16:22:06,2022-11-14 16:23:09,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,A1EK141R43PEBL,,45.4802,10.867,-1
R_2Bwxaph0OQuGGm2,null,82.193.226.155,2022-11-25 06:40:58,2022-11-25 06:42:48,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,AH9PK54DA5BVK,,52.3349,13.419,-1
R_2uIDFe5yNIOBOiO,null,217.165.248.15,2022-12-14 08:40:36,2022-12-14 08:41:12,,,,,1,0,0.0,0.0,0.0,5- Excellent,5- Excellent,5- Excellent,ACV54F2CWSVTU,It was great speaking with Mr. Harish,25.2633,55.3087,-1
